,routeid,routestring,EndSolution,origin,destination,weights,weight_of_route,route_flow
0,7002569,"['BGR', 'GRC']",1,BGR,GRC,"[0.5, 0.5]",1.0,BGRGRC
0,7015980,"['BGR', 'SRB', 'HRV', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 0.5, 0.25, 0.25]",3.0,BGRITA
1,7009871,"['BGR', 'ROU', 'HUN', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.25, 0.25]",1.75,BGRITA
2,7009032,"['BGR', 'ROU', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.0, 0.25]",1.5,BGRITA
3,7016278,"['BGR', 'SRB', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 0.25, 0.0, 0.25]",2.5,BGRITA
4,7017326,"['BGR', 'SRB', 'HUN', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 0.25, 0.25, 0.25]",2.75,BGRITA
5,7011675,"['BGR', 'ROU', 'SRB', 'HRV', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 1.5, 0.5, 0.25, 0.25]",3.5,BGRITA
6,7007386,"['BGR', 'MKD', 'SRB', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 1.5, 1.5, 0.25, 0.0, 0.25]",4.0,BGRITA
7,7009115,"['BGR', 'ROU', 'HUN', 'HRV', 'SVN', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.5, 0.25, 0.25]",2.25,BGRITA
8,7009257,"['BGR', 'ROU', 'HUN', 'SVK', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.25]",1.75,BGRITA
9,7011778,"['BGR', 'ROU', 'SRB', 'HUN', 'AUT', 'ITA']",1,BGR,ITA,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.25]",3.0,BGRITA
0,7023135,"['BGR', 'MKD']",1,BGR,MKD,"[0.5, 1.5]",2.0,BGRMKD
1,7023134,"['BGR', 'GRC', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5]",2.5,BGRMKD
2,7023133,"['BGR', 'GRC', 'ALB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5]",4.0,BGRMKD
3,7023132,"['BGR', 'GRC', 'ALB', 'MNE', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 1.5]",7.0,BGRMKD
4,7022810,"['BGR', 'GRC', 'ALB', 'MNE', 'BIH', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 1.5, 1.5]",8.5,BGRMKD
5,7022929,"['BGR', 'GRC', 'ALB', 'MNE', 'HRV', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 0.5, 1.5, 1.5]",7.5,BGRMKD
6,7022761,"['BGR', 'GRC', 'ALB', 'MNE', 'BIH', 'HRV', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 0.5, 1.5, 1.5]",9.0,BGRMKD
7,7022816,"['BGR', 'GRC', 'ALB', 'MNE', 'HRV', 'BIH', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 0.5, 1.5, 1.5, 1.5]",9.0,BGRMKD
8,7022850,"['BGR', 'GRC', 'ALB', 'MNE', 'HRV', 'HUN', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 0.5, 0.25, 1.5, 1.5]",7.75,BGRMKD
9,7022743,"['BGR', 'GRC', 'ALB', 'MNE', 'BIH', 'HRV', 'HUN', 'SRB', 'MKD']",1,BGR,MKD,"[0.5, 0.5, 1.5, 1.5, 1.5, 0.5, 0.25, 1.5, 1.5]",9.25,BGRMKD
0,7042194,"['BGR', 'SRB', 'HUN', 'AUT', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 1.5, 0.25, 0.0, 0.0, 0.0]",2.25,BGRNLD
1,7037993,"['BGR', 'ROU', 'UKR', 'POL', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.0]",2.75,BGRNLD
2,7031234,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 0.25, 0.0, 0.0, 0.0]",1.25,BGRNLD
3,7032717,"['BGR', 'ROU', 'HUN', 'SVN', 'AUT', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",1.5,BGRNLD
4,7029119,"['BGR', 'MKD', 'SRB', 'HUN', 'AUT', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 1.5, 1.5, 0.25, 0.0, 0.0, 0.0]",3.75,BGRNLD
5,7031177,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU', 'BEL', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0]",1.25,BGRNLD
6,7033309,"['BGR', 'ROU', 'HUN', 'UKR', 'POL', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 0.25, 1.5, 0.25, 0.0, 0.0]",3.0,BGRNLD
7,7032165,"['BGR', 'ROU', 'HUN', 'SVK', 'CZE', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 0.25, 0.25, 0.25, 0.0, 0.0]",1.75,BGRNLD
8,7031968,"['BGR', 'ROU', 'HUN', 'SVK', 'AUT', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",1.5,BGRNLD
9,7031615,"['BGR', 'ROU', 'HUN', 'AUT', 'CHE', 'DEU', 'NLD']",1,BGR,NLD,"[0.5, 0.5, 0.25, 0.0, 1.0, 0.0, 0.0]",2.25,BGRNLD
0,7058108,"['BGR', 'ROU', 'UKR', 'POL']",1,BGR,POL,"[0.5, 0.5, 1.5, 0.25]",2.75,BGRPOL
1,7060195,"['BGR', 'SRB', 'HUN', 'SVK', 'POL']",1,BGR,POL,"[0.5, 1.5, 0.25, 0.25, 0.25]",2.75,BGRPOL
2,7056257,"['BGR', 'ROU', 'HUN', 'UKR', 'POL']",1,BGR,POL,"[0.5, 0.5, 0.25, 1.5, 0.25]",3.0,BGRPOL
3,7061777,"['BGR', 'TUR', 'GEO', 'RUS', 'POL']",1,BGR,POL,"[0.5, 1.5, 1.5, 1.75, 0.25]",5.5,BGRPOL
4,7060494,"['BGR', 'SRB', 'HUN', 'UKR', 'POL']",1,BGR,POL,"[0.5, 1.5, 0.25, 1.5, 0.25]",4.0,BGRPOL
5,7061713,"['BGR', 'SRB', 'ROU', 'UKR', 'POL']",1,BGR,POL,"[0.5, 1.5, 0.5, 1.5, 0.25]",4.25,BGRPOL
6,7057608,"['BGR', 'ROU', 'UKR', 'BLR', 'POL']",1,BGR,POL,"[0.5, 0.5, 1.5, 1.75, 0.25]",4.5,BGRPOL
7,7061745,"['BGR', 'TUR', 'AZE', 'RUS', 'POL']",1,BGR,POL,"[0.5, 1.5, 1.5, 1.75, 0.25]",5.5,BGRPOL
8,7056484,"['BGR', 'ROU', 'MDA', 'UKR', 'POL']",1,BGR,POL,"[0.5, 0.5, 1.5, 1.5, 0.25]",4.25,BGRPOL
9,7055929,"['BGR', 'ROU', 'HUN', 'SVK', 'POL']",1,BGR,POL,"[0.5, 0.5, 0.25, 0.25, 0.25]",1.75,BGRPOL
0,7078349,"['BGR', 'ROU', 'UKR', 'POL', 'DEU', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 0.5, 1.5, 0.25, 0.0, 0.0, 0.25, 0.0]",3.0,BGRPRT
1,7085412,"['BGR', 'SRB', 'HUN', 'SVN', 'ITA', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 1.5, 0.25, 0.25, 0.25, 0.0, 0.25, 0.0]",3.0,BGRPRT
2,7083083,"['BGR', 'SRB', 'HUN', 'AUT', 'DEU', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 1.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0]",2.5,BGRPRT
3,7072885,"['BGR', 'ROU', 'HUN', 'SVN', 'ITA', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 0.5, 0.25, 0.25, 0.25, 0.0, 0.25, 0.0]",2.0,BGRPRT
4,7083582,"['BGR', 'SRB', 'HUN', 'AUT', 'CHE', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 1.5, 0.25, 0.0, 1.0, 0.0, 0.25, 0.0]",3.5,BGRPRT
5,7083231,"['BGR', 'SRB', 'HUN', 'AUT', 'ITA', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 1.5, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0]",2.75,BGRPRT
6,7082758,"['BGR', 'SRB', 'HRV', 'SVN', 'ITA', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 1.5, 0.5, 0.25, 0.25, 0.0, 0.25, 0.0]",3.25,BGRPRT
7,7070742,"['BGR', 'ROU', 'HUN', 'AUT', 'DEU', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0]",1.5,BGRPRT
8,7071254,"['BGR', 'ROU', 'HUN', 'AUT', 'CHE', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 0.5, 0.25, 0.0, 1.0, 0.0, 0.25, 0.0]",2.5,BGRPRT
9,7070885,"['BGR', 'ROU', 'HUN', 'AUT', 'ITA', 'FRA', 'ESP', 'PRT']",1,BGR,PRT,"[0.5, 0.5, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0]",1.75,BGRPRT
0,7095483,"['BGR', 'SRB']",1,BGR,SRB,"[0.5, 1.5]",2.0,BGRSRB
1,7095482,"['BGR', 'ROU', 'SRB']",1,BGR,SRB,"[0.5, 0.5, 1.5]",2.5,BGRSRB
2,7093753,"['BGR', 'MKD', 'SRB']",1,BGR,SRB,"[0.5, 1.5, 1.5]",3.5,BGRSRB
3,7094579,"['BGR', 'ROU', 'HUN', 'SRB']",1,BGR,SRB,"[0.5, 0.5, 0.25, 1.5]",2.75,BGRSRB
4,7092751,"['BGR', 'GRC', 'MKD', 'SRB']",1,BGR,SRB,"[0.5, 0.5, 1.5, 1.5]",4.0,BGRSRB
5,7093519,"['BGR', 'MKD', 'ALB', 'SRB']",1,BGR,SRB,"[0.5, 1.5, 1.5, 1.5]",5.0,BGRSRB
6,7092731,"['BGR', 'GRC', 'ALB', 'SRB']",1,BGR,SRB,"[0.5, 0.5, 1.5, 1.5]",4.0,BGRSRB
7,7092750,"['BGR', 'GRC', 'MKD', 'ALB', 'SRB']",1,BGR,SRB,"[0.5, 0.5, 1.5, 1.5, 1.5]",5.5,BGRSRB
8,7094578,"['BGR', 'ROU', 'HUN', 'HRV', 'SRB']",1,BGR,SRB,"[0.5, 0.5, 0.25, 0.5, 1.5]",3.25,BGRSRB
9,7092729,"['BGR', 'GRC', 'ALB', 'MNE', 'SRB']",1,BGR,SRB,"[0.5, 0.5, 1.5, 1.5, 1.5]",5.5,BGRSRB
0,7124428,"['BGR', 'TUR', 'GEO', 'RUS', 'FIN', 'SWE']",1,BGR,SWE,"[0.5, 1.5, 1.5, 1.75, 0.0, 0.0]",5.25,BGRSWE
1,7111947,"['BGR', 'ROU', 'UKR', 'RUS', 'FIN', 'SWE']",1,BGR,SWE,"[0.5, 0.5, 1.5, 1.75, 0.0, 0.0]",4.25,BGRSWE
2,7123372,"['BGR', 'TUR', 'AZE', 'RUS', 'NOR', 'SWE']",1,BGR,SWE,"[0.5, 1.5, 1.5, 1.75, 1.0, 0.0]",6.25,BGRSWE
3,7123173,"['BGR', 'TUR', 'AZE', 'RUS', 'FIN', 'SWE']",1,BGR,SWE,"[0.5, 1.5, 1.5, 1.75, 0.0, 0.0]",5.25,BGRSWE
4,7124627,"['BGR', 'TUR', 'GEO', 'RUS', 'NOR', 'SWE']",1,BGR,SWE,"[0.5, 1.5, 1.5, 1.75, 1.0, 0.0]",6.25,BGRSWE
5,7112063,"['BGR', 'ROU', 'UKR', 'RUS', 'NOR', 'SWE']",1,BGR,SWE,"[0.5, 0.5, 1.5, 1.75, 1.0, 0.0]",5.25,BGRSWE
6,7110399,"['BGR', 'ROU', 'UKR', 'BLR', 'RUS', 'FIN', 'SWE']",1,BGR,SWE,"[0.5, 0.5, 1.5, 1.75, 1.75, 0.0, 0.0]",6.0,BGRSWE
7,7098607,"['BGR', 'GRC', 'TUR', 'GEO', 'RUS', 'FIN', 'SWE']",1,BGR,SWE,"[0.5, 0.5, 1.5, 1.5, 1.75, 0.0, 0.0]",5.75,BGRSWE
8,7110421,"['BGR', 'ROU', 'UKR', 'BLR', 'RUS', 'NOR', 'SWE']",1,BGR,SWE,"[0.5, 0.5, 1.5, 1.75, 1.75, 1.0, 0.0]",7.0,BGRSWE
9,7098303,"['BGR', 'GRC', 'TUR', 'AZE', 'RUS', 'NOR', 'SWE']",1,BGR,SWE,"[0.5, 0.5, 1.5, 1.5, 1.75, 1.0, 0.0]",6.75,BGRSWE
0,7151711,"['BGR', 'TUR']",1,BGR,TUR,"[0.5, 1.5]",2.0,BGRTUR
1,7128535,"['BGR', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 0.5, 1.5]",2.5,BGRTUR
2,7130144,"['BGR', 'MKD', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 1.5, 0.5, 1.5]",4.0,BGRTUR
3,7142337,"['BGR', 'SRB', 'ALB', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 1.5, 1.5, 0.5, 1.5]",5.5,BGRTUR
4,7149293,"['BGR', 'SRB', 'MKD', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 1.5, 1.5, 0.5, 1.5]",5.5,BGRTUR
5,7128536,"['BGR', 'MKD', 'ALB', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 1.5, 1.5, 0.5, 1.5]",5.5,BGRTUR
6,7139291,"['BGR', 'ROU', 'SRB', 'MKD', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 0.5, 1.5, 1.5, 0.5, 1.5]",6.0,BGRTUR
7,7137317,"['BGR', 'ROU', 'SRB', 'ALB', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 0.5, 1.5, 1.5, 0.5, 1.5]",6.0,BGRTUR
8,7142524,"['BGR', 'SRB', 'ALB', 'MKD', 'GRC', 'TUR']",1,BGR,TUR,"[0.5, 1.5, 1.5, 1.5, 0.5, 1.5]",7.0,BGRTUR
9,7141211,"['BGR', 'ROU', 'UKR', 'RUS', 'GEO', 'TUR']",1,BGR,TUR,"[0.5, 0.5, 1.5, 1.75, 1.5, 1.5]",7.25,BGRTUR
0,7155869,"['BLR', 'UKR', 'SVK', 'AUT']",1,BLR,AUT,"[1.75, 1.5, 0.25, 0.0]",3.5,BLRAUT
1,7153307,"['BLR', 'POL', 'DEU', 'AUT']",1,BLR,AUT,"[1.75, 0.25, 0.0, 0.0]",2.0,BLRAUT
2,7153306,"['BLR', 'POL', 'CZE', 'AUT']",1,BLR,AUT,"[1.75, 0.25, 0.25, 0.0]",2.25,BLRAUT
3,7153798,"['BLR', 'POL', 'SVK', 'AUT']",1,BLR,AUT,"[1.75, 0.25, 0.25, 0.0]",2.25,BLRAUT
4,7155086,"['BLR', 'UKR', 'HUN', 'AUT']",1,BLR,AUT,"[1.75, 1.5, 0.25, 0.0]",3.5,BLRAUT
5,7153799,"['BLR', 'POL', 'UKR', 'HUN', 'AUT']",1,BLR,AUT,"[1.75, 0.25, 1.5, 0.25, 0.0]",3.75,BLRAUT
6,7152678,"['BLR', 'LTU', 'POL', 'DEU', 'AUT']",1,BLR,AUT,"[1.75, 0.25, 0.25, 0.0, 0.0]",2.25,BLRAUT
7,7152792,"['BLR', 'LTU', 'POL', 'SVK', 'AUT']",1,BLR,AUT,"[1.75, 0.25, 0.25, 0.25, 0.0]",2.5,BLRAUT
8,7154097,"['BLR', 'POL', 'UKR', 'SVK', 'AUT']",1,BLR,AUT,"[1.75, 0.25, 1.5, 0.25, 0.0]",3.75,BLRAUT
9,7154753,"['BLR', 'RUS', 'POL', 'DEU', 'AUT']",1,BLR,AUT,"[1.75, 1.75, 0.25, 0.0, 0.0]",3.75,BLRAUT
0,7157623,"['BLR', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 0.25, 0.25]",2.25,BLRCZE
1,7159986,"['BLR', 'UKR', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 1.5, 0.25, 0.25]",3.75,BLRCZE
2,7158363,"['BLR', 'RUS', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 1.75, 0.25, 0.25]",4.0,BLRCZE
3,7160843,"['BLR', 'UKR', 'SVK', 'CZE']",1,BLR,CZE,"[1.75, 1.5, 0.25, 0.25]",3.75,BLRCZE
4,7157066,"['BLR', 'LTU', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 0.25, 0.25, 0.25]",2.5,BLRCZE
5,7157299,"['BLR', 'LTU', 'RUS', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 0.25, 1.75, 0.25, 0.25]",4.25,BLRCZE
6,7158788,"['BLR', 'RUS', 'UKR', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 1.75, 1.5, 0.25, 0.25]",5.5,BLRCZE
7,7156489,"['BLR', 'LVA', 'RUS', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 0.25, 1.75, 0.25, 0.25]",4.25,BLRCZE
8,7158362,"['BLR', 'RUS', 'LTU', 'POL', 'CZE']",1,BLR,CZE,"[1.75, 1.75, 0.25, 0.25, 0.25]",4.25,BLRCZE
9,7159069,"['BLR', 'RUS', 'UKR', 'SVK', 'CZE']",1,BLR,CZE,"[1.75, 1.75, 1.5, 0.25, 0.25]",5.5,BLRCZE
0,7162886,"['BLR', 'POL', 'DEU']",1,BLR,DEU,"[1.75, 0.25, 0.0]",2.0,BLRDEU
1,7162249,"['BLR', 'LTU', 'POL', 'DEU']",1,BLR,DEU,"[1.75, 0.25, 0.25, 0.0]",2.25,BLRDEU
2,7162885,"['BLR', 'POL', 'CZE', 'DEU']",1,BLR,DEU,"[1.75, 0.25, 0.25, 0.0]",2.25,BLRDEU
3,7165408,"['BLR', 'UKR', 'POL', 'DEU']",1,BLR,DEU,"[1.75, 1.5, 0.25, 0.0]",3.5,BLRDEU
4,7163652,"['BLR', 'RUS', 'POL', 'DEU']",1,BLR,DEU,"[1.75, 1.75, 0.25, 0.0]",3.75,BLRDEU
5,7161543,"['BLR', 'LVA', 'RUS', 'POL', 'DEU']",1,BLR,DEU,"[1.75, 0.25, 1.75, 0.25, 0.0]",4.0,BLRDEU
6,7166574,"['BLR', 'UKR', 'SVK', 'POL', 'DEU']",1,BLR,DEU,"[1.75, 1.5, 0.25, 0.25, 0.0]",3.75,BLRDEU
7,7162484,"['BLR', 'LTU', 'RUS', 'POL', 'DEU']",1,BLR,DEU,"[1.75, 0.25, 1.75, 0.25, 0.0]",4.0,BLRDEU
8,7163651,"['BLR', 'RUS', 'POL', 'CZE', 'DEU']",1,BLR,DEU,"[1.75, 1.75, 0.25, 0.25, 0.0]",4.0,BLRDEU
9,7162884,"['BLR', 'POL', 'CZE', 'AUT', 'DEU']",1,BLR,DEU,"[1.75, 0.25, 0.25, 0.0, 0.0]",2.25,BLRDEU
0,7183106,"['BLR', 'RUS', 'GEO', 'TUR', 'GRC']",1,BLR,GRC,"[1.75, 1.75, 1.5, 1.5, 0.5]",7.0,BLRGRC
1,7192610,"['BLR', 'UKR', 'ROU', 'BGR', 'GRC']",1,BLR,GRC,"[1.75, 1.5, 0.5, 0.5, 0.5]",4.75,BLRGRC
2,7183027,"['BLR', 'RUS', 'AZE', 'TUR', 'GRC']",1,BLR,GRC,"[1.75, 1.75, 1.5, 1.5, 0.5]",7.0,BLRGRC
3,7182196,"['BLR', 'POL', 'UKR', 'ROU', 'BGR', 'GRC']",1,BLR,GRC,"[1.75, 0.25, 1.5, 0.5, 0.5, 0.5]",5.0,BLRGRC
4,7168740,"['BLR', 'LVA', 'RUS', 'AZE', 'TUR', 'GRC']",1,BLR,GRC,"[1.75, 0.25, 1.75, 1.5, 1.5, 0.5]",7.25,BLRGRC
5,7168744,"['BLR', 'LVA', 'RUS', 'GEO', 'TUR', 'GRC']",1,BLR,GRC,"[1.75, 0.25, 1.75, 1.5, 1.5, 0.5]",7.25,BLRGRC
6,7179338,"['BLR', 'POL', 'RUS', 'AZE', 'TUR', 'GRC']",1,BLR,GRC,"[1.75, 0.25, 1.75, 1.5, 1.5, 0.5]",7.25,BLRGRC
7,7174173,"['BLR', 'LTU', 'RUS', 'AZE', 'TUR', 'GRC']",1,BLR,GRC,"[1.75, 0.25, 1.75, 1.5, 1.5, 0.5]",7.25,BLRGRC
8,7179342,"['BLR', 'POL', 'RUS', 'GEO', 'TUR', 'GRC']",1,BLR,GRC,"[1.75, 0.25, 1.75, 1.5, 1.5, 0.5]",7.25,BLRGRC
9,7183026,"['BLR', 'RUS', 'AZE', 'TUR', 'BGR', 'GRC']",1,BLR,GRC,"[1.75, 1.75, 1.5, 1.5, 0.5, 0.5]",7.5,BLRGRC
0,7196405,"['BLR', 'LTU']",1,BLR,LTU,"[1.75, 0.25]",2.0,BLRLTU
1,7196404,"['BLR', 'LVA', 'LTU']",1,BLR,LTU,"[1.75, 0.25, 0.25]",2.25,BLRLTU
2,7196403,"['BLR', 'LVA', 'EST', 'RUS', 'LTU']",1,BLR,LTU,"[1.75, 0.25, 0.25, 1.75, 0.25]",4.25,BLRLTU
0,7222842,"['BLR', 'UKR', 'ROU', 'BGR', 'MKD']",1,BLR,MKD,"[1.75, 1.5, 0.5, 0.5, 1.5]",5.75,BLRMKD
1,7219991,"['BLR', 'UKR', 'HUN', 'SRB', 'MKD']",1,BLR,MKD,"[1.75, 1.5, 0.25, 1.5, 1.5]",6.5,BLRMKD
2,7223903,"['BLR', 'UKR', 'ROU', 'SRB', 'MKD']",1,BLR,MKD,"[1.75, 1.5, 0.5, 1.5, 1.5]",6.75,BLRMKD
3,7217105,"['BLR', 'RUS', 'UKR', 'HUN', 'SRB', 'MKD']",1,BLR,MKD,"[1.75, 1.75, 1.5, 0.25, 1.5, 1.5]",8.25,BLRMKD
4,7212536,"['BLR', 'POL', 'UKR', 'ROU', 'SRB', 'MKD']",1,BLR,MKD,"[1.75, 0.25, 1.5, 0.5, 1.5, 1.5]",7.0,BLRMKD
5,7213122,"['BLR', 'RUS', 'AZE', 'TUR', 'GRC', 'MKD']",1,BLR,MKD,"[1.75, 1.75, 1.5, 1.5, 0.5, 1.5]",8.5,BLRMKD
6,7211882,"['BLR', 'POL', 'UKR', 'HUN', 'SRB', 'MKD']",1,BLR,MKD,"[1.75, 0.25, 1.5, 0.25, 1.5, 1.5]",6.75,BLRMKD
7,7213108,"['BLR', 'RUS', 'AZE', 'TUR', 'BGR', 'MKD']",1,BLR,MKD,"[1.75, 1.75, 1.5, 1.5, 0.5, 1.5]",8.5,BLRMKD
8,7213227,"['BLR', 'RUS', 'GEO', 'TUR', 'GRC', 'MKD']",1,BLR,MKD,"[1.75, 1.75, 1.5, 1.5, 0.5, 1.5]",8.5,BLRMKD
