,routeid,routestring,EndSolution,origin,destination,weights,weight_of_route,route_flow
1,7656508,"['ROU', 'UKR', 'POL', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 1.5, 0.25, 1.75, 0.0]",4.0,ROUFIN
2,7643986,"['ROU', 'HUN', 'UKR', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 0.25, 1.5, 1.75, 0.0]",4.0,ROUFIN
3,7646278,"['ROU', 'MDA', 'UKR', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 1.5, 1.5, 1.75, 0.0]",5.25,ROUFIN
4,7653586,"['ROU', 'UKR', 'BLR', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 1.5, 1.75, 1.75, 0.0]",5.5,ROUFIN
5,7643788,"['ROU', 'HUN', 'UKR', 'POL', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 0.25, 1.5, 0.25, 1.75, 0.0]",4.25,ROUFIN
6,7659306,"['ROU', 'UKR', 'SVK', 'POL', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 1.5, 0.25, 0.25, 1.75, 0.0]",4.25,ROUFIN
7,7637870,"['ROU', 'BGR', 'TUR', 'GEO', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 0.5, 1.5, 1.5, 1.75, 0.0]",5.75,ROUFIN
8,7645987,"['ROU', 'MDA', 'UKR', 'POL', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 1.5, 1.5, 0.25, 1.75, 0.0]",5.5,ROUFIN
9,7637810,"['ROU', 'BGR', 'TUR', 'AZE', 'RUS', 'FIN']",1,ROU,FIN,"[0.5, 0.5, 1.5, 1.5, 1.75, 0.0]",5.75,ROUFIN
0,7691042,"['ROU', 'BGR', 'GRC']",1,ROU,GRC,"[0.5, 0.5, 0.5]",1.5,ROUGRC
1,7702456,"['ROU', 'SRB', 'BGR', 'GRC']",1,ROU,GRC,"[0.5, 1.5, 0.5, 0.5]",3.0,ROUGRC
2,7707839,"['ROU', 'SRB', 'MKD', 'GRC']",1,ROU,GRC,"[0.5, 1.5, 1.5, 0.5]",4.0,ROUGRC
3,7701802,"['ROU', 'SRB', 'ALB', 'GRC']",1,ROU,GRC,"[0.5, 1.5, 1.5, 0.5]",4.0,ROUGRC
4,7707838,"['ROU', 'SRB', 'MKD', 'BGR', 'GRC']",1,ROU,GRC,"[0.5, 1.5, 1.5, 0.5, 0.5]",4.5,ROUGRC
5,7693417,"['ROU', 'HUN', 'SRB', 'ALB', 'GRC']",1,ROU,GRC,"[0.5, 0.25, 1.5, 1.5, 0.5]",4.25,ROUGRC
6,7693664,"['ROU', 'HUN', 'SRB', 'MKD', 'GRC']",1,ROU,GRC,"[0.5, 0.25, 1.5, 1.5, 0.5]",4.25,ROUGRC
7,7693470,"['ROU', 'HUN', 'SRB', 'BGR', 'GRC']",1,ROU,GRC,"[0.5, 0.25, 1.5, 0.5, 0.5]",3.25,ROUGRC
8,7707185,"['ROU', 'SRB', 'MNE', 'ALB', 'GRC']",1,ROU,GRC,"[0.5, 1.5, 1.5, 1.5, 0.5]",5.5,ROUGRC
9,7707837,"['ROU', 'SRB', 'MKD', 'ALB', 'GRC']",1,ROU,GRC,"[0.5, 1.5, 1.5, 1.5, 0.5]",5.5,ROUGRC
0,7751439,"['ROU', 'HUN', 'AUT', 'ITA']",1,ROU,ITA,"[0.5, 0.25, 0.0, 0.25]",1.0,ROUITA
1,7753666,"['ROU', 'HUN', 'SVN', 'ITA']",1,ROU,ITA,"[0.5, 0.25, 0.25, 0.25]",1.25,ROUITA
2,7762641,"['ROU', 'UKR', 'HUN', 'SVN', 'ITA']",1,ROU,ITA,"[0.5, 1.5, 0.25, 0.25, 0.25]",2.75,ROUITA
3,7751799,"['ROU', 'HUN', 'HRV', 'SVN', 'ITA']",1,ROU,ITA,"[0.5, 0.25, 0.5, 0.25, 0.25]",1.75,ROUITA
4,7759649,"['ROU', 'SRB', 'HUN', 'SVN', 'ITA']",1,ROU,ITA,"[0.5, 1.5, 0.25, 0.25, 0.25]",2.75,ROUITA
5,7758923,"['ROU', 'SRB', 'HUN', 'AUT', 'ITA']",1,ROU,ITA,"[0.5, 1.5, 0.25, 0.0, 0.25]",2.5,ROUITA
6,7758641,"['ROU', 'SRB', 'HRV', 'SVN', 'ITA']",1,ROU,ITA,"[0.5, 1.5, 0.5, 0.25, 0.25]",3.0,ROUITA
7,7753535,"['ROU', 'HUN', 'SVN', 'AUT', 'ITA']",1,ROU,ITA,"[0.5, 0.25, 0.25, 0.0, 0.25]",1.25,ROUITA
8,7761908,"['ROU', 'UKR', 'HUN', 'AUT', 'ITA']",1,ROU,ITA,"[0.5, 1.5, 0.25, 0.0, 0.25]",2.5,ROUITA
9,7752351,"['ROU', 'HUN', 'SVK', 'AUT', 'ITA']",1,ROU,ITA,"[0.5, 0.25, 0.25, 0.0, 0.25]",1.25,ROUITA
0,7782361,"['ROU', 'SRB', 'MKD']",1,ROU,MKD,"[0.5, 1.5, 1.5]",3.5,ROUMKD
1,7765186,"['ROU', 'BGR', 'MKD']",1,ROU,MKD,"[0.5, 0.5, 1.5]",2.5,ROUMKD
2,7776291,"['ROU', 'SRB', 'ALB', 'MKD']",1,ROU,MKD,"[0.5, 1.5, 1.5, 1.5]",5.0,ROUMKD
3,7765185,"['ROU', 'BGR', 'GRC', 'MKD']",1,ROU,MKD,"[0.5, 0.5, 0.5, 1.5]",3.0,ROUMKD
4,7767868,"['ROU', 'HUN', 'SRB', 'MKD']",1,ROU,MKD,"[0.5, 0.25, 1.5, 1.5]",3.75,ROUMKD
5,7776960,"['ROU', 'SRB', 'BGR', 'MKD']",1,ROU,MKD,"[0.5, 1.5, 0.5, 1.5]",4.0,ROUMKD
6,7776959,"['ROU', 'SRB', 'BGR', 'GRC', 'MKD']",1,ROU,MKD,"[0.5, 1.5, 0.5, 0.5, 1.5]",4.5,ROUMKD
7,7767670,"['ROU', 'HUN', 'SRB', 'BGR', 'MKD']",1,ROU,MKD,"[0.5, 0.25, 1.5, 0.5, 1.5]",4.25,ROUMKD
8,7767608,"['ROU', 'HUN', 'SRB', 'ALB', 'MKD']",1,ROU,MKD,"[0.5, 0.25, 1.5, 1.5, 1.5]",5.25,ROUMKD
9,7765184,"['ROU', 'BGR', 'GRC', 'ALB', 'MKD']",1,ROU,MKD,"[0.5, 0.5, 0.5, 1.5, 1.5]",4.5,ROUMKD
0,7795188,"['ROU', 'HUN', 'AUT', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 0.25, 0.0, 0.0, 0.0]",0.75,ROUNLD
1,7814376,"['ROU', 'UKR', 'POL', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 1.5, 0.25, 0.0, 0.0]",2.25,ROUNLD
2,7802901,"['ROU', 'MDA', 'UKR', 'POL', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 1.5, 1.5, 0.25, 0.0, 0.0]",3.75,ROUNLD
3,7800423,"['ROU', 'HUN', 'UKR', 'POL', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 0.25, 1.5, 0.25, 0.0, 0.0]",2.5,ROUNLD
4,7798180,"['ROU', 'HUN', 'SVK', 'POL', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 0.25, 0.25, 0.25, 0.0, 0.0]",1.25,ROUNLD
5,7796006,"['ROU', 'HUN', 'AUT', 'CHE', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 0.25, 0.0, 1.0, 0.0, 0.0]",1.75,ROUNLD
6,7797743,"['ROU', 'HUN', 'SVK', 'CZE', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 0.25, 0.25, 0.25, 0.0, 0.0]",1.25,ROUNLD
7,7794725,"['ROU', 'HUN', 'AUT', 'CZE', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 0.25, 0.0, 0.25, 0.0, 0.0]",1.0,ROUNLD
8,7817865,"['ROU', 'UKR', 'SVK', 'POL', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 1.5, 0.25, 0.25, 0.0, 0.0]",2.5,ROUNLD
9,7797311,"['ROU', 'HUN', 'SVK', 'AUT', 'DEU', 'NLD']",1,ROU,NLD,"[0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",1.0,ROUNLD
0,7844572,"['ROU', 'UKR', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 1.5, 1.75, 1.0]",4.75,ROUNOR
1,7843205,"['ROU', 'UKR', 'POL', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 1.5, 0.25, 1.75, 1.0]",5.0,ROUNOR
2,7831589,"['ROU', 'MDA', 'UKR', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 1.5, 1.5, 1.75, 1.0]",6.25,ROUNOR
3,7828933,"['ROU', 'HUN', 'UKR', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 0.25, 1.5, 1.75, 1.0]",5.0,ROUNOR
4,7840027,"['ROU', 'UKR', 'BLR', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 1.5, 1.75, 1.75, 1.0]",6.5,ROUNOR
5,7844095,"['ROU', 'UKR', 'RUS', 'FIN', 'NOR']",1,ROU,NOR,"[0.5, 1.5, 1.75, 0.0, 1.0]",4.75,ROUNOR
6,7846651,"['ROU', 'UKR', 'SVK', 'POL', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 1.5, 0.25, 0.25, 1.75, 1.0]",5.25,ROUNOR
7,7831165,"['ROU', 'MDA', 'UKR', 'POL', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 1.5, 1.5, 0.25, 1.75, 1.0]",6.5,ROUNOR
8,7821469,"['ROU', 'BGR', 'TUR', 'AZE', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 0.5, 1.5, 1.5, 1.75, 1.0]",6.75,ROUNOR
9,7821595,"['ROU', 'BGR', 'TUR', 'GEO', 'RUS', 'NOR']",1,ROU,NOR,"[0.5, 0.5, 1.5, 1.5, 1.75, 1.0]",6.75,ROUNOR
0,7856926,"['ROU', 'UKR', 'POL']",1,ROU,POL,"[0.5, 1.5, 0.25]",2.25,ROUPOL
1,7855618,"['ROU', 'UKR', 'BLR', 'POL']",1,ROU,POL,"[0.5, 1.5, 1.75, 0.25]",4.0,ROUPOL
2,7852355,"['ROU', 'MDA', 'UKR', 'POL']",1,ROU,POL,"[0.5, 1.5, 1.5, 0.25]",3.75,ROUPOL
3,7851748,"['ROU', 'HUN', 'UKR', 'POL']",1,ROU,POL,"[0.5, 0.25, 1.5, 0.25]",2.5,ROUPOL
4,7851084,"['ROU', 'HUN', 'SVK', 'POL']",1,ROU,POL,"[0.5, 0.25, 0.25, 0.25]",1.25,ROUPOL
5,7851790,"['ROU', 'MDA', 'UKR', 'BLR', 'POL']",1,ROU,POL,"[0.5, 1.5, 1.5, 1.75, 0.25]",5.5,ROUPOL
6,7854627,"['ROU', 'SRB', 'HUN', 'SVK', 'POL']",1,ROU,POL,"[0.5, 1.5, 0.25, 0.25, 0.25]",2.75,ROUPOL
7,7851083,"['ROU', 'HUN', 'SVK', 'CZE', 'POL']",1,ROU,POL,"[0.5, 0.25, 0.25, 0.25, 0.25]",1.5,ROUPOL
8,7849373,"['ROU', 'HUN', 'AUT', 'SVK', 'POL']",1,ROU,POL,"[0.5, 0.25, 0.0, 0.25, 0.25]",1.25,ROUPOL
9,7849118,"['ROU', 'HUN', 'AUT', 'CZE', 'POL']",1,ROU,POL,"[0.5, 0.25, 0.0, 0.25, 0.25]",1.25,ROUPOL
0,7867696,"['ROU', 'HUN', 'SVN', 'ITA', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.25, 0.25, 0.0, 0.25, 0.0]",1.5,ROUPRT
1,7861917,"['ROU', 'HUN', 'AUT', 'DEU', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0]",1.0,ROUPRT
2,7863111,"['ROU', 'HUN', 'AUT', 'CHE', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 1.0, 0.0, 0.25, 0.0]",2.0,ROUPRT
3,7862193,"['ROU', 'HUN', 'AUT', 'ITA', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0]",1.25,ROUPRT
4,7884406,"['ROU', 'UKR', 'POL', 'DEU', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 1.5, 0.25, 0.0, 0.0, 0.25, 0.0]",2.5,ROUPRT
5,7861933,"['ROU', 'HUN', 'AUT', 'DEU', 'LUX', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]",1.0,ROUPRT
6,7862341,"['ROU', 'HUN', 'AUT', 'LIE', 'CHE', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 1.0, 0.0, 0.25, 0.0]",2.0,ROUPRT
7,7862260,"['ROU', 'HUN', 'AUT', 'ITA', 'CHE', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 0.25, 1.0, 0.0, 0.25, 0.0]",2.25,ROUPRT
8,7862112,"['ROU', 'HUN', 'AUT', 'DEU', 'CHE', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 0.0, 1.0, 0.0, 0.25, 0.0]",2.0,ROUPRT
9,7861795,"['ROU', 'HUN', 'AUT', 'DEU', 'BEL', 'FRA', 'ESP', 'PRT']",1,ROU,PRT,"[0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]",1.0,ROUPRT
0,7893405,"['ROU', 'SRB']",1,ROU,SRB,"[0.5, 1.5]",2.0,ROUSRB
1,7889056,"['ROU', 'BGR', 'SRB']",1,ROU,SRB,"[0.5, 0.5, 1.5]",2.5,ROUSRB
2,7890964,"['ROU', 'HUN', 'SRB']",1,ROU,SRB,"[0.5, 0.25, 1.5]",2.25,ROUSRB
3,7890963,"['ROU', 'HUN', 'HRV', 'SRB']",1,ROU,SRB,"[0.5, 0.25, 0.5, 1.5]",2.75,ROUSRB
4,7889055,"['ROU', 'BGR', 'MKD', 'SRB']",1,ROU,SRB,"[0.5, 0.5, 1.5, 1.5]",4.0,ROUSRB
5,7890962,"['ROU', 'HUN', 'HRV', 'MNE', 'SRB']",1,ROU,SRB,"[0.5, 0.25, 0.5, 1.5, 1.5]",4.25,ROUSRB
6,7888739,"['ROU', 'BGR', 'GRC', 'MKD', 'SRB']",1,ROU,SRB,"[0.5, 0.5, 0.5, 1.5, 1.5]",4.5,ROUSRB
7,7890942,"['ROU', 'HUN', 'HRV', 'BIH', 'SRB']",1,ROU,SRB,"[0.5, 0.25, 0.5, 1.5, 1.5]",4.25,ROUSRB
8,7888975,"['ROU', 'BGR', 'MKD', 'ALB', 'SRB']",1,ROU,SRB,"[0.5, 0.5, 1.5, 1.5, 1.5]",5.5,ROUSRB
9,7888729,"['ROU', 'BGR', 'GRC', 'ALB', 'SRB']",1,ROU,SRB,"[0.5, 0.5, 0.5, 1.5, 1.5]",4.5,ROUSRB
0,7922090,"['ROU', 'UKR', 'RUS', 'FIN', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 1.75, 0.0, 0.0]",3.75,ROUSWE
1,7922568,"['ROU', 'UKR', 'RUS', 'NOR', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 1.75, 1.0, 0.0]",4.75,ROUSWE
2,7905376,"['ROU', 'HUN', 'UKR', 'RUS', 'FIN', 'SWE']",1,ROU,SWE,"[0.5, 0.25, 1.5, 1.75, 0.0, 0.0]",4.0,ROUSWE
3,7908440,"['ROU', 'MDA', 'UKR', 'RUS', 'NOR', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 1.5, 1.75, 1.0, 0.0]",6.25,ROUSWE
4,7917789,"['ROU', 'UKR', 'BLR', 'RUS', 'NOR', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 1.75, 1.75, 1.0, 0.0]",6.5,ROUSWE
5,7922089,"['ROU', 'UKR', 'RUS', 'FIN', 'NOR', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 1.75, 0.0, 1.0, 0.0]",4.75,ROUSWE
6,7917693,"['ROU', 'UKR', 'BLR', 'RUS', 'FIN', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 1.75, 1.75, 0.0, 0.0]",5.5,ROUSWE
7,7908306,"['ROU', 'MDA', 'UKR', 'RUS', 'FIN', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 1.5, 1.75, 0.0, 0.0]",5.25,ROUSWE
8,7905498,"['ROU', 'HUN', 'UKR', 'RUS', 'NOR', 'SWE']",1,ROU,SWE,"[0.5, 0.25, 1.5, 1.75, 1.0, 0.0]",5.0,ROUSWE
9,7921199,"['ROU', 'UKR', 'POL', 'RUS', 'NOR', 'SWE']",1,ROU,SWE,"[0.5, 1.5, 0.25, 1.75, 1.0, 0.0]",5.0,ROUSWE
0,7928505,"['ROU', 'BGR', 'TUR']",1,ROU,TUR,"[0.5, 0.5, 1.5]",2.5,ROUTUR
1,7925692,"['ROU', 'BGR', 'GRC', 'TUR']",1,ROU,TUR,"[0.5, 0.5, 0.5, 1.5]",3.0,ROUTUR
2,7940446,"['ROU', 'SRB', 'BGR', 'TUR']",1,ROU,TUR,"[0.5, 1.5, 0.5, 1.5]",4.0,ROUTUR
3,7945897,"['ROU', 'SRB', 'MKD', 'GRC', 'TUR']",1,ROU,TUR,"[0.5, 1.5, 1.5, 0.5, 1.5]",5.5,ROUTUR
4,7925980,"['ROU', 'BGR', 'MKD', 'GRC', 'TUR']",1,ROU,TUR,"[0.5, 0.5, 1.5, 0.5, 1.5]",4.5,ROUTUR
5,7931132,"['ROU', 'HUN', 'SRB', 'BGR', 'TUR']",1,ROU,TUR,"[0.5, 0.25, 1.5, 0.5, 1.5]",4.25,ROUTUR
6,7945886,"['ROU', 'SRB', 'MKD', 'BGR', 'TUR']",1,ROU,TUR,"[0.5, 1.5, 1.5, 0.5, 1.5]",5.5,ROUTUR
7,7940430,"['ROU', 'SRB', 'BGR', 'GRC', 'TUR']",1,ROU,TUR,"[0.5, 1.5, 0.5, 0.5, 1.5]",4.5,ROUTUR
8,7950775,"['ROU', 'UKR', 'RUS', 'AZE', 'TUR']",1,ROU,TUR,"[0.5, 1.5, 1.75, 1.5, 1.5]",6.75,ROUTUR
9,7939577,"['ROU', 'SRB', 'ALB', 'GRC', 'TUR']",1,ROU,TUR,"[0.5, 1.5, 1.5, 0.5, 1.5]",5.5,ROUTUR
0,7976519,"['RUS', 'UKR', 'ROU', 'SRB', 'BIH']",1,RUS,BIH,"[1.75, 1.5, 0.5, 1.5, 1.5]",6.75,RUSBIH
1,7973696,"['RUS', 'UKR', 'HUN', 'HRV', 'BIH']",1,RUS,BIH,"[1.75, 1.5, 0.25, 0.5, 1.5]",5.5,RUSBIH
2,7973758,"['RUS', 'UKR', 'HUN', 'SRB', 'BIH']",1,RUS,BIH,"[1.75, 1.5, 0.25, 1.5, 1.5]",6.5,RUSBIH
3,7958631,"['RUS', 'BLR', 'UKR', 'ROU', 'SRB', 'BIH']",1,RUS,BIH,"[1.75, 1.75, 1.5, 0.5, 1.5, 1.5]",8.5,RUSBIH
4,7957508,"['RUS', 'BLR', 'UKR', 'HUN', 'HRV', 'BIH']",1,RUS,BIH,"[1.75, 1.75, 1.5, 0.25, 0.5, 1.5]",7.25,RUSBIH
5,7972092,"['RUS', 'POL', 'UKR', 'ROU', 'SRB', 'BIH']",1,RUS,BIH,"[1.75, 0.25, 1.5, 0.5, 1.5, 1.5]",7.0,RUSBIH
6,7971637,"['RUS', 'POL', 'UKR', 'HUN', 'SRB', 'BIH']",1,RUS,BIH,"[1.75, 0.25, 1.5, 0.25, 1.5, 1.5]",6.75,RUSBIH
7,7960456,"['RUS', 'GEO', 'TUR', 'BGR', 'SRB', 'BIH']",1,RUS,BIH,"[1.75, 1.5, 1.5, 0.5, 1.5, 1.5]",8.25,RUSBIH
8,7971060,"['RUS', 'POL', 'SVK', 'HUN', 'HRV', 'BIH']",1,RUS,BIH,"[1.75, 0.25, 0.25, 0.25, 0.5, 1.5]",4.5,RUSBIH
9,7971594,"['RUS', 'POL', 'UKR', 'HUN', 'HRV', 'BIH']",1,RUS,BIH,"[1.75, 0.25, 1.5, 0.25, 0.5, 1.5]",5.75,RUSBIH
0,7978959,"['RUS', 'BLR']",1,RUS,BLR,"[1.75, 1.75]",3.5,RUSBLR
1,7978458,"['RUS', 'AZE', 'TUR', 'BGR', 'ROU', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 0.5, 0.5, 1.5, 1.75]",9.0,RUSBLR
2,7978603,"['RUS', 'AZE', 'TUR', 'BGR', 'SRB', 'ROU', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 0.5, 1.5, 0.5, 1.5, 1.75]",10.5,RUSBLR
3,7978009,"['RUS', 'AZE', 'GEO', 'TUR', 'BGR', 'ROU', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 1.5, 0.5, 0.5, 1.5, 1.75]",10.5,RUSBLR
4,7978792,"['RUS', 'AZE', 'TUR', 'GRC', 'BGR', 'ROU', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 0.5, 0.5, 0.5, 1.5, 1.75]",9.5,RUSBLR
5,7978568,"['RUS', 'AZE', 'TUR', 'BGR', 'SRB', 'HUN', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 0.5, 1.5, 0.25, 1.5, 1.75]",10.25,RUSBLR
6,7978411,"['RUS', 'AZE', 'TUR', 'BGR', 'ROU', 'MDA', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 0.5, 0.5, 1.5, 1.5, 1.75]",10.5,RUSBLR
7,7978410,"['RUS', 'AZE', 'TUR', 'BGR', 'ROU', 'HUN', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 0.5, 0.5, 0.25, 1.5, 1.75]",9.25,RUSBLR
8,7977989,"['RUS', 'AZE', 'GEO', 'TUR', 'BGR', 'ROU', 'MDA', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 1.5, 0.5, 0.5, 1.5, 1.5, 1.75]",12.0,RUSBLR
9,7978065,"['RUS', 'AZE', 'GEO', 'TUR', 'BGR', 'SRB', 'ROU', 'UKR', 'BLR']",1,RUS,BLR,"[1.75, 1.5, 1.5, 1.5, 0.5, 1.5, 0.5, 1.5, 1.75]",12.0,RUSBLR
0,7978963,"['RUS', 'AZE', 'TUR', 'GRC']",1,RUS,GRC,"[1.75, 1.5, 1.5, 0.5]",5.25,RUSGRC
1,7985927,"['RUS', 'GEO', 'TUR', 'GRC']",1,RUS,GRC,"[1.75, 1.5, 1.5, 0.5]",5.25,RUSGRC
2,7978961,"['RUS', 'AZE', 'GEO', 'TUR', 'GRC']",1,RUS,GRC,"[1.75, 1.5, 1.5, 1.5, 0.5]",6.75,RUSGRC
3,7978962,"['RUS', 'AZE', 'TUR', 'BGR', 'GRC']",1,RUS,GRC,"[1.75, 1.5, 1.5, 0.5, 0.5]",5.75,RUSGRC
4,7985925,"['RUS', 'GEO', 'AZE', 'TUR', 'GRC']",1,RUS,GRC,"[1.75, 1.5, 1.5, 1.5, 0.5]",6.75,RUSGRC
